,SOC
2019-03-27 07:00:00,2064.0
2019-03-27 08:00:00,1676.0879
2019-03-27 09:00:00,1676.0879
2019-03-27 10:00:00,1676.0879
2019-03-27 11:00:00,1676.0879
2019-03-27 12:00:00,1676.0879
2019-03-27 13:00:00,1676.0879
2019-03-27 14:00:00,1676.0879
2019-03-27 15:00:00,1676.0879
2019-03-27 16:00:00,1676.0879
2019-03-27 17:00:00,1676.0879
2019-03-27 18:00:00,1676.0879
2019-03-27 19:00:00,1288.1758
2019-03-27 20:00:00,900.26373
2019-03-27 21:00:00,512.3516
2019-03-27 22:00:00,512.3516
2019-03-27 23:00:00,512.3516
2019-03-28 00:00:00,512.3516
2019-03-28 01:00:00,771.2117
2019-03-28 02:00:00,1030.0717
2019-03-28 03:00:00,1288.9316
2019-03-28 04:00:00,1547.7916
2019-03-28 05:00:00,1806.6516
2019-03-28 06:00:00,1806.6516
2019-03-28 07:00:00,1806.6516
2019-03-28 08:00:00,1418.7395
2019-03-28 09:00:00,1030.8275
2019-03-28 10:00:00,1030.8275
2019-03-28 11:00:00,1030.8275
2019-03-28 12:00:00,1030.8275
2019-03-28 13:00:00,1030.8275
2019-03-28 14:00:00,1030.8275
2019-03-28 15:00:00,1030.8275
2019-03-28 16:00:00,1030.8275
2019-03-28 17:00:00,1030.8275
2019-03-28 18:00:00,1030.8275
2019-03-28 19:00:00,642.9154
2019-03-28 20:00:00,255.0033
2019-03-28 21:00:00,3.791245
2019-03-28 22:00:00,1.030673
2019-03-28 23:00:00,1.030673
2019-03-29 00:00:00,1.030673
2019-03-29 01:00:00,1.030673
2019-03-29 02:00:00,259.8907
2019-03-29 03:00:00,518.7507
2019-03-29 04:00:00,777.61066
2019-03-29 05:00:00,1036.4707
2019-03-29 06:00:00,1036.4707
2019-03-29 07:00:00,1036.4707
2019-03-29 08:00:00,648.5586
2019-03-29 09:00:00,648.5586
2019-03-29 10:00:00,648.5586
2019-03-29 11:00:00,648.5586
2019-03-29 12:00:00,648.5586
2019-03-29 13:00:00,648.5586
2019-03-29 14:00:00,907.4186
2019-03-29 15:00:00,907.4186
2019-03-29 16:00:00,907.4186
2019-03-29 17:00:00,907.4186
2019-03-29 18:00:00,907.4186
2019-03-29 19:00:00,907.4186
2019-03-29 20:00:00,519.5065
2019-03-29 21:00:00,131.5944
2019-03-29 22:00:00,2.4351034
2019-03-29 23:00:00,1.0157703
2019-03-30 00:00:00,1.0157703
2019-03-30 01:00:00,1.0157703
2019-03-30 02:00:00,1.0157703
2019-03-30 03:00:00,1.0157703
2019-03-30 04:00:00,1.0157703
2019-03-30 05:00:00,1.0157703
2019-03-30 06:00:00,1.0157703
2019-03-30 07:00:00,1.0157703
2019-03-30 08:00:00,1.0157703
2019-03-30 09:00:00,1.0157703
2019-03-30 10:00:00,1.0157703
2019-03-30 11:00:00,1.0157703
2019-03-30 12:00:00,259.87576
2019-03-30 13:00:00,518.7358
2019-03-30 14:00:00,777.59576
2019-03-30 15:00:00,1036.4558
2019-03-30 16:00:00,1036.4558
2019-03-30 17:00:00,1036.4558
2019-03-30 18:00:00,1036.4558
2019-03-30 19:00:00,1036.4558
2019-03-30 20:00:00,648.5437
2019-03-30 21:00:00,260.6316
2019-03-30 22:00:00,260.6316
2019-03-30 23:00:00,260.6316
2019-03-31 00:00:00,3.8530943
2019-03-31 01:00:00,1.0313526
2019-03-31 02:00:00,1.0313526
2019-03-31 03:00:00,1.0313526
2019-03-31 04:00:00,1.0313526
2019-03-31 05:00:00,1.0313526
2019-03-31 06:00:00,1.0313526
2019-03-31 07:00:00,1.0313526
2019-03-31 08:00:00,1.0313526
2019-03-31 09:00:00,1.0313526
2019-03-31 10:00:00,259.89136
2019-03-31 11:00:00,518.75134
2019-03-31 12:00:00,777.6113
2019-03-31 13:00:00,1036.4713
2019-03-31 14:00:00,1295.3313
2019-03-31 15:00:00,1554.1914
2019-03-31 16:00:00,1813.0514
2019-03-31 17:00:00,1813.0514
2019-03-31 18:00:00,1425.1393
2019-03-31 19:00:00,1037.2272
2019-03-31 20:00:00,1037.2272
2019-03-31 21:00:00,1037.2272
2019-03-31 22:00:00,1037.2272
2019-03-31 23:00:00,1037.2272
2019-04-01 00:00:00,1037.2272
2019-04-01 01:00:00,1037.2272
2019-04-01 02:00:00,1296.0872
2019-04-01 03:00:00,1554.9471
2019-04-01 04:00:00,1554.9471
2019-04-01 05:00:00,1554.9471
